pop,pop_dens,error,price,predicted_price
3806,1951.7948717949,28984.958851876,70640,99624.958851876
209,17.1733771569,25958.029158985606,43664,69622.0291589856
8784,477.1319934818,47464.621339828445,120973,73508.37866017155
10348,1223.1678486998,39549.15470926161,126012,86462.84529073839
622,232.9588014981,33952.44234716706,108011,74058.55765283294
6092,2079.180887372,114349.08882348781,214285,99935.91117651219
5598,1529.5081967213,176455.89587066593,270089,93633.10412933407
2686,695.8549222798,33468.95789672433,115355,81886.04210327567
11306,2691.9047619048,27624.5156811387,75545,103169.5156811387
382,149.8039215686,58743.42036612595,131184,72440.57963387405
3968,2088.4210526316,25591.36078520074,75354,100945.36078520074
2675,4533.8983050848,39673.14783456799,65766,105439.147834568
361,78.3080260304,32549.096272605588,103430,70880.90372739441
3175,525.6622516556,32206.281003297947,110502,78295.71899670205
3380,775.2293577982,25408.708496298306,108311,82902.2915037017
17772,2981.8791946309,39288.416073121334,63730,103018.41607312133
4517,1998.6725663717,29850.190153264833,69949,99799.19015326483
2277,455.4,25143.62790763726,102647,77503.37209236274
13300,452.8430371127,36269.09940836305,106172,69902.90059163695
12504,3020.2898550725,50810.16578519544,155574,104763.83421480456
24617,990.6237424547,31386.43693104229,105271,73884.56306895771
4403,1761.2,28059.220283530536,69136,97195.22028353054
173,180.2083333333,109210.77747729135,182463,73252.22252270865
